To,From,Reason for Dishing,Date,Room
@chuygarcia92,iviangita3204,!praise <@!727934296387616848> <@!88836610321289216> for really getting in the Comms WG and working really hard in there,Jun-04-2021,🙏praise
@Ata,iviangita3204,!praise <@!720204738997649429> for walking Nate through all the case studies,Jun-04-2021,🙏praise
@penguin,iviangita3204,!praise <@!208321561982271489> for coming to the Community Call and talking on behalf of the Metagame,Jun-04-2021,🙏praise
@sem  🐝,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> for making the Hatch possible,Jun-04-2021,🙏praise
@paulo.eth,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> for making the Hatch possible,Jun-04-2021,🙏praise
@paulo.eth,iviangita3204,!praise <@!460149781562523650> for helping Pavlo with some issues,Jun-04-2021,🙏praise
@kristofer,iviangita3204,!praise <@!751417874886688798> <@!388384931102982154> for their work on keeping the CS Swag shop going,Jun-04-2021,🙏praise
@Tam2140,iviangita3204,!praise <@!751417874886688798> <@!388384931102982154> for their work on keeping the CS Swag shop going,Jun-04-2021,🙏praise
@fahern,iviangita3204,!praise <@!142474743029694464> <@!88836610321289216> for reaching out and seeking help with our processes,Jun-04-2021,🙏praise
@lEscanore,iviangita3204,!praise <@!142474743029694464> <@!88836610321289216> for reaching out and seeking help with our processes,Jun-04-2021,🙏praise
@penguin,🐙Musashi135579,"!praise <@!249716522375839746> , <@!431434716797730820> , <@!208321561982271489> , <@!367484103089455108>  for always being in video chats working openly. helping a lot when questions asked.",Jun-04-2021,🙏praise
@Bagholder McFomo III 🐙,🐙Musashi135579,"!praise <@!249716522375839746> , <@!431434716797730820> , <@!208321561982271489> , <@!367484103089455108>  for always being in video chats working openly. helping a lot when questions asked.",Jun-04-2021,🙏praise
@metaverde,🐙Musashi135579,"!praise <@!249716522375839746> , <@!431434716797730820> , <@!208321561982271489> , <@!367484103089455108>  for always being in video chats working openly. helping a lot when questions asked.",Jun-04-2021,🙏praise
@🐙 Misanth 🐙,🐙Musashi135579,"!praise <@!249716522375839746> , <@!431434716797730820> , <@!208321561982271489> , <@!367484103089455108>  for always being in video chats working openly. helping a lot when questions asked.",Jun-04-2021,🙏praise
@chuygarcia92,Mount Manu3530,"!praise <@!727934296387616848> for all the hours of assistance, scripting & direction that he's devoted to the production of our community video",Jun-04-2021,🙏praise
@Tam2140,Mount Manu3530,!praise <@!751417874886688798> for re-recording two clips of content for our community video,Jun-04-2021,🙏praise
@lEscanore,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
